id,sscode,office_type,name,address1,address2,address3,city,state,zipcode,tel_public,tel_admin,fax,notes
35,040,FO,FITCHBURG MA,Social Security Administration,PHILBIN FED BLDG,881 MAIN ST 1ST FLOOR,FITCHBURG,MA,01420,(877) 319-0728,,,
36,041,FO,LAWRENCE MA,Social Security Administration,SUITE 208,439 S UNION ST,LAWRENCE,MA,01843,(877) 669-3127,,,
37,042,FO,FALL RIVER MA,Social Security Administration,,400 NORTH MAIN STREET,FALL RIVER,MA,02720,(866) 964-3967,,,
38,044,FO,HOLYOKE MA,Social Security Administration,2ND FLOOR,200 HIGH STREET,HOLYOKE,MA,01040,(877) 480-4989,,,
39,045,FO,MALDEN MA,Social Security Administration,,192 COMMERCIAL ST,MALDEN,MA,02148,(800) 772-1213,,,
40,046,FO,SALEM MA,Social Security Administration,SUITE 406,10 FEDERAL ST,SALEM,MA,01970,(800) 772-1213,,,
41,047,FO,QUINCY MA,Social Security Administration,SUITE 210N,1250 HANCOCK ST,QUINCY,MA,02169,(800) 772-1213,,,
42,048,FO,DORCHESTER MA,Social Security Administration,,115 FREEPORT ST,DORCHESTER,MA,02122,(800) 772-1213,,,
43,049,FO,ATTLEBORO MA,Social Security Administration,,106 PLEASANT ST,ATTLEBORO,MA,02703,(888) 655-6469,,,
44,050,FO,HAVERHILL MA,Social Security Administration,,367 MAIN ST,HAVERHILL,MA,01830,(866) 964-4324,,,
45,051,FO,WALTHAM MA,Social Security Administration,SUITE 120,135 BEAVER STREET,WALTHAM,MA,02452,(800) 772-1213,,,
46,052,FO,NORWOOD MA,Social Security Administration,SUITE 102,ONE EDGEWATER DRIVE,NORWOOD,MA,02062,(800) 772-1213,,,
47,053,FO,FRAMINGHAM MA,Social Security Administration,Suite 101,One Clarks Hill,Framingham,MA,01702,(800) 772-1213,,,
48,054,FO,HYANNIS MA,Social Security Administration,100 Independence Drive,Suite 4,Hyannis,MA,02601,(866) 467-0440,,,
49,056,FO,ROSLINDALE MA,Social Security Administration,,4238 WASHINGTON ST,ROSLINDALE,MA,02131,(800) 772-1213,,,
50,057,FO,TAUNTON MA,Social Security Administration,,104 DEAN ST,TAUNTON,MA,02780,(877) 505-4546,,,
51,059,FO,LANCASTER CA,Social Security Administration,42225 10th St W,Ste A,Lancaster,CA,93534,(866) 964-1725,,,
52,060,FO,MERCED CA,Social Security Administration,,600 WEST OLIVE AVE,MERCED,CA,95348,(888) 632-7069,,,
53,061,FO,SANTA CRUZ CA,Social Security Administration,,169 WALNUT AVENUE,SANTA CRUZ,CA,95060,(800) 593-8523,,,
54,062,FO,CHATSWORTH CA,Social Security Administration,,20439 NORDHOFF ST,CHATSWORTH,CA,91311,(800) 772-1213,,,
55,063,FO,MONTEBELLO CA,Social Security Administration,,2216 W BEVERLY BLVD,MONTEBELLO,CA,90640,(800) 772-1213,,,
56,064,FO,WATTS CA,Social Security Administration,,12429 AVALON BLVD,LOS ANGELES,CA,90061,(800) 772-1213,,,
57,066,FO,HAYWARD CA,Social Security Administration,SUITE 500,24301 SOUTHLAND DR,HAYWARD,CA,94545,(800) 772-1213,,,
58,068,FO,SANTA MARIA CA,Social Security Administration,,2436 PROFESSIONAL PKWY,SANTA MARIA,CA,93455,(866) 331-2316,,,
59,070,FO,PALM SPRINGS CA,Social Security Administration,,4201 E RAMON RD,PALM SPRINGS,CA,92264,(800) 772-1213,,,
60,072,FO,PROV RI,Social Security Administration,6TH FLOOR,ONE EMPIRE PLAZA,PROVIDENCE,RI,02903,(877) 402-0808,,,
61,073,FO,WOONSOCKET RI,Social Security Administration,PAVILION PLAZA,2168 DIAMOND HILL ROAD,WOONSOCKET,RI,02895,(877) 229-3542,,,
62,074,FO,PAWTUCKET RI,Social Security Administration,,4 PLEASANT ST,PAWTUCKET,RI,02860,(866) 931-7079,,,
63,075,FO,WARWICK RI,Social Security Administration,FIRST FLOOR,30 QUAKER LANE,WARWICK,RI,02886,(866) 964-2038,,,
64,080,FO,HARTFORD CT,Social Security Administration,2ND FLOOR,960 MAIN ST,HARTFORD,CT,06103,(877) 619-2851,,,
65,081,FO,BRIDGEPORT CT,Social Security Administration,35 COURTLAND ST,2ND FLOOR,BRIDGEPORT,CT,06604,(866) 331-6399,,,
66,082,FO,WATERBURY CT,Social Security Administration,SUITE 1,51 NORTH ELM ST,WATERBURY,CT,06702,(877) 405-4874,,,
67,083,FO,WILLIMANTIC CT,Social Security Administration,STE 19,1320 MAIN ST,WILLIMANTIC,CT,06226,(877) 405-0488,,,
68,084,FO,NEW LONDON CT,Social Security Administration,RM 101,2 SHAWS COVE,NEW LONDON,CT,06320,(866) 643-3401,,,
69,085,FO,NEW HAVEN CT,Social Security Administration,GIAIMO FED BLDG 4TH FL,150 COURT ST,NEW HAVEN,CT,06510,(866) 331-5281,,,
70,086,FO,NEW BRITAIN CT,Social Security Administration,2ND FL,233 MAIN STREET,NEW BRITAIN,CT,06051,(866) 858-6086,,,
71,087,FO,STAMFORD CT,Social Security Administration,SUITE 105,2 LANDMARK SQUARE,STAMFORD,CT,06901,(866) 770-1881,,,
72,088,FO,MERIDEN CT,Social Security Administration,321 Research Parkway,Suite 212,MERIDEN,CT,06450,(877) 409-8429,,,
73,089,FO,TORRINGTON CT,Social Security Administration,,147 LITCHFIELD STREET,TORRINGTON,CT,06790,(877) 405-0486,,,
74,090,FO,DANBURY CT,Social Security Administration,,131 West St,Danbury,CT,06810,(866) 275-7821,,,
75,092,FO,LITTLETON CO,Social Security Administration,,8000 SOUTHPARK LN,LITTLETON,CO,80120,(800) 772-1213,,,
76,093,FO,LAKEWOOD CO,Social Security Administration,,13151 W ALAMEDA PKWY,LAKEWOOD,CO,80228,(800) 772-1213,,,
77,094,FO,ABINGDON MD,Social Security Administration,3435A BOX HILL,CORPORATE CENTER DR,ABINGDON,MD,21009,(800) 772-1213,,,
78,095,FO,CAMBRIDGE MD,Social Security Administration,SUITE 500,828 AIRPAX ROAD,CAMBRIDGE,MD,21613,(888) 347-9277,,,
79,096,FO,ELKTON MD,Social Security Administration,SUITE A,101 CHESAPEAKE BLVD,ELKTON,MD,21921,(866) 331-2218,,,
80,097,FO,CHILLICOTHE MO,Social Security Administration,INDUSTRIAL PK,1105 S MITCHELL AVE,CHILLICOTHE,MO,64601,(877) 405-7668,,,
81,098,FO,KANSAS CITY (GATEWAY),Social Security Administration,,2021 INDEPENDENCE AVE,KANSAS CITY,MO,64124,(800) 772-1213,,,
82,099,FO,ST LOUIS CEN WEST MO,Social Security Administration,,5669 DELMAR BLVD,ST LOUIS,MO,63112,(800) 772-1213,,,
83,100,FO,NY MIDTOWN NY,Social Security Administration,5TH FLOOR,237 W 48TH STREET,NEW YORK,NY,10036,(800) 772-1213,,,
84,101,FO,SYRACUSE NY,Social Security Administration,FED BLDG 4TH FLOOR,100 S CLINTON ST,SYRACUSE,NY,13261,(800) 772-1213,,,
85,102,FO,ALBANY NY,Social Security Administration,RM 430 FEDERAL BLDG,11 A CLINTON AVE,ALBANY,NY,12207,(866) 253-9183,,,
86,103,FO,BUFFALO NY,Social Security Administration,SUITE 100,186 EXCHANGE STREET,BUFFALO,NY,14204,(800) 772-1213,,,
87,104,FO,BINGHAMTON NY,Social Security Administration,SUITE 300,2 COURT STREET,BINGHAMTON,NY,13901,(866) 964-3971,,,
88,105,FO,SCHENECTADY NY,Social Security Administration,8TH FLOOR,ONE BROADWAY CENTER,SCHENECTADY,NY,12305,(866) 964-1296,,,
89,106,FO,BORO HALL NY,Social Security Administration,7TH FLOOR,195 MONTAGUE ST,BROOKLYN,NY,11201,(800) 772-1213,,,
90,108,FO,ROCHESTER NY,Social Security Administration,ONE HSBC PLZ STE 600,100 CHESTNUT ST,ROCHESTER,NY,14604,(800) 772-1213,,,
91,109,FO,NY DOWNTOWN NY,Social Security Administration,4TH FLOOR,123 WILLIAM ST,NEW YORK,NY,10038,(800) 772-1213,,,
92,110,FO,UTICA NY,Social Security Administration,FEDERAL BUILDING,10 BROAD STREET,UTICA,NY,13501,(877) 405-6750,,,
93,111,FO,JAMESTOWN NY,Social Security Administration,,321 HAZELTINE AVE,JAMESTOWN,NY,14701,(877) 319-3079,,,
94,112,FO,SOUTH BRONX NY,Social Security Administration,820 Concourse Village,"West, 3rd Fl",Bronx,NY,10451,(800) 772-1213,,,
95,113,FO,YONKERS NY,Social Security Administration,STE 1000,20 SOUTH BROADWAY,YONKERS,NY,10701,(800) 772-1213,,,
96,114,FO,ELMIRA NY,Social Security Administration,SUITE 201,100 WEST CHURCH ST,ELMIRA,NY,14901,(866) 964-1715,,,
97,115,FO,NIAGARA FALLS NY,Social Security Administration,,6540 NIAGARA FALLS BVD,NIAGARA FALLS,NY,14304,(877) 480-4992,,,
98,116,FO,OGDENSBURG NY,Social Security Administration,,101 FORD STREET,OGDENSBURG,NY,13669,(866) 572-8369,,,
99,117,FO,NY UPTOWN NY,Social Security Administration,302 WEST 126TH STREET,4TH FLOOR,NEW YORK,NY,10027,(800) 772-1213,,,
100,118,FO,NEWBURGH NY,Social Security Administration,SUITE 301,3 WASHINGTON CENTER,NEWBURGH,NY,12550,(866) 504-4801,,,
101,119,FO,REGO PARK NY,Social Security Administration,,6344 AUSTIN STREET,REGO PARK,NY,11374,(800) 772-1213,,,
102,120,FO,JAMAICA NY,Social Security Administration,3RD FL DISTRICT OFFICE,155-10 JAMAICA AVE,JAMAICA,NY,11432,(800) 772-1213,,,
103,121,FO,STATEN ISLAND NY,Social Security Administration,,2389 RICHMOND AVENUE,STATEN ISLAND,NY,10314,(800) 772-1213,,,
104,122,FO,GLOVERSVILLE NY,Social Security Administration,,13 N ARLINGTON AVE,GLOVERSVILLE,NY,12078,(888) 528-9446,,,
105,123,FO,OSWEGO NY,Social Security Administration,,17 FOURTH AVE,OSWEGO,NY,13126,(866) 964-7593,,,
106,125,FO,PLATTSBURGH NY,Social Security Administration,SUITE 230,14 DURKEE ST,PLATTSBURGH,NY,12901,(866) 964-7430,,,
107,126,FO,QUEENSBURY NY,Social Security Administration,SUITE 1,17 CRONIN RD,QUEENSBURY,NY,12804,(877) 405-4875,,,
108,127,FO,BROOKLYN FLATBUSH NY,Social Security Administration,,2250 NOSTRAND AVE,BROOKLYN,NY,11210,(800) 772-1213,,,
109,128,FO,NEW ROCHELLE NY,Social Security Administration,STREET LEVEL,85 HARRISON ST,NEW ROCHELLE,NY,10801,(800) 772-1213,,,
110,129,FO,WATERTOWN NY,Social Security Administration,,156 BELLEW AVE SOUTH,WATERTOWN,NY,13601,(866) 627-6995,,,
111,130,FO,TROY NY,Social Security Administration,SUITE 101,500 FEDERAL ST,TROY,NY,12180,(866) 770-2662,,,
112,132,FO,NORTH BRONX NY,Social Security Administration,2ND FLOOR,2501 GRAND CONCOURSE,BRONX,NY,10468,(800) 772-1213,,,
113,133,FO,POUGHKEEPSIE NY,Social Security Administration,,332 MAIN ST,POUGHKEEPSIE,NY,12601,(877) 405-6747,,,
114,134,FO,INWOOD HILL NY,Social Security Administration,,4941 Broadway,New York,NY,10034,(800) 772-1213,,,
115,135,FO,BROOKLYN BUSHWICK NY,Social Security Administration,,1111 MYRTLE AVE,BROOKLYN,NY,11206,(800) 772-1213,,,
116,136,FO,PATCHOGUE NY,Social Security Administration,,75 OAK STREET,PATCHOGUE,NY,11772,(800) 772-1213,,,
117,137,FO,BROOKLYN NEW UTRECHT,Social Security Administration,,7714 17 AVENUE,BROOKLYN,NY,11214,(800) 772-1213,,,
118,138,FO,MINEOLA NY,Social Security Administration,5TH FLOOR,211 STATION RD,MINEOLA,NY,11501,(800) 772-1213,,,
119,139,FO,CYPRESS HILLS,Social Security Administration,,3386 FULTON STREET,BROOKLYN,NY,11208,(800) 772-1213,,,
120,140,FO,CORNING NY,Social Security Administration,,200 NASSER CIVIC CTR,CORNING,NY,14830,(866) 591-3665,,,
121,141,FO,GENEVA NY,Social Security Administration,,15 LEWIS ST,GENEVA,NY,14456,(866) 331-7759,,,
122,142,FO,OLEAN NY,Social Security Administration,,1618 W State St,Olean,NY,14760,(877) 319-5773,,,
123,143,FO,BATAVIA NY,Social Security Administration,,571 EAST MAIN STREET,BATAVIA,NY,14020,(866) 931-7103,,,
124,144,FO,MELVILLE NY,Social Security Administration,SUITE 201,1121 WALT WHITMAN RD,MELVILLE,NY,11747,(800) 772-1213,,,
125,146,FO,ONEONTA NY,Social Security Administration,SUITE 1,31 MAIN ST,ONEONTA,NY,13820,(877) 628-6581,,,
126,147,FO,EAST BRONX NY,Social Security Administration,2ND FLOOR,1380 PARKER STREET,BRONX,NY,10462,(800) 772-1213,,,
127,148,FO,WHITE PLAINS NY,Social Security Administration,SUITE 4A,297 KNOLLWOOD RD,WHITE PLAINS,NY,10607,(800) 772-1213,,,
128,149,FO,WEST NYACK NY,Social Security Administration,,240 WEST NYACK ROAD,WEST NYACK,NY,10994,(800) 772-1213,,,
129,150,FO,FLUSHING NY,Social Security Administration,,138-50 BARCLAY AVE,FLUSHING,NY,11355,(800) 772-1213,,,
130,151,FO,FREEPORT NY,Social Security Administration,,84 N. MAIN STREET,FREEPORT,NY,11520,(800) 772-1213,,,
131,152,FO,ITHACA NY,Social Security Administration,2ND FL,127 W STATE STREET,ITHACA,NY,14850,(866) 706-8289,,,
132,153,FO,HUDSON NY,Social Security Administration,,747 WARREN STREET,HUDSON,NY,12534,(877) 828-1691,,,
133,154,FO,MONTICELLO NY,Social Security Administration,SUITE 4,60 JEFFERSON ST,MONTICELLO,NY,12701,(855) 794-4728,,,
134,156,FO,NY EAST HARLEM NY,Social Security Administration,4TH FLOOR,345 EAST 102ND STREET,NEW YORK,NY,10029,(800) 772-1213,,,
135,158,FO,BRONX HUNTS POINT NY,Social Security Administration,3RD FLOOR,1029 E 163RD STREET,BRONX,NY,10459,(800) 772-1213,,,
136,160,FO,BEDFORD HEIGHTS NY,Social Security Administration,,1540 FULTON STREET,BROOKLYN,NY,11216,(800) 772-1213,,,
137,162,FO,ROCKAWAY PARK NY,Social Security Administration,,11306 ROCKAWAY BCH BLV,ROCKAWAY PARK,NY,11694,(800) 772-1213,,,
138,163,FO,RIVERHEAD NY,Social Security Administration,,526 EAST MAIN STREET,RIVERHEAD,NY,11901,(800) 772-1213,,,
139,166,FO,WAILUKU HI,Social Security Administration,SUITE 125,2200 MAIN STREET,WAILUKU,HI,96793,(800) 772-1213,,,
140,167,FO,KAPOLEI HI,Social Security Administration,,970 MANAWAI STREET,KAPOLEI,HI,96707,(800) 772-1213,,,
141,168,FO,GUAM,Social Security Administration,SUITE 155,770 EAST SUNSET BLVD,TIYAN,GU,96913,(800) 772-1213,,,
142,170,FO,NEWARK NJ,Social Security Administration,ROOM 1035,970 BROAD STREET,NEWARK,NJ,07102,(800) 772-1213,,,
143,171,FO,TRENTON NJ,Social Security Administration,ROEBLING MARKET,635 S CLINTON AVE,TRENTON,NJ,08611,(800) 772-1213,,,
144,172,FO,CHERRY HILL NJ,Social Security Administration,SUITE 100,FIVE EXECUTIVE CAMPUS,CHERRY HILL,NJ,08002,(800) 772-1213,,,
145,173,FO,PATERSON NJ,Social Security Administration,FIRST FLOOR,200 FEDERAL PLZ,PATERSON,NJ,07505,(800) 772-1213,,,
146,174,FO,UNION TOWNSHIP NJ,Social Security Administration,,855 LEHIGH AVE,UNION,NJ,07083,(800) 772-1213,,,
147,175,FO,WOODBRIDGE NJ,Social Security Administration,3RD FLOOR,190 MIDDLESEX TRNPIKE,ISELIN,NJ,08830,(800) 772-1213,,,
148,176,FO,JERSEY CITY NJ,Social Security Administration,,325 WEST SIDE AVENUE,JERSEY CITY,NJ,07305,(800) 772-1213,,,
149,177,FO,CLIFTON NJ,Social Security Administration,,935 ALLWOOD RD,CLIFTON,NJ,07012,(800) 772-1213,,,
150,178,FO,EGG HARBOR TWP NJ,Social Security Administration,,1350 DOUGHTY RD,EGG HARBOR TWP,NJ,08234,(800) 772-1213,,,
151,179,FO,LACONIA AVENUE,Social Security Administration,,3247 LACONIA AVE,BRONX,NY,10469,(800) 772-1213,,,
152,180,FO,BRIDGETON NJ,Social Security Administration,,149 WEST BROAD STREET,BRIDGETON,NJ,08302,(800) 772-1213,,,
153,181,FO,NEPTUNE,Social Security Administration,,3310 STATE ROUTE 66,NEPTUNE,NJ,07753,(800) 772-1213,,,
154,182,FO,HACKENSACK NJ,Social Security Administration,CONTINENTAL PLZ 2FL,401 HACKENSACK AVE,HACKENSACK,NJ,07601,(800) 772-1213,,,
155,184,FO,EAST ORANGE NJ,Social Security Administration,,7 GLENWOOD AVE STE 100,EAST ORANGE,NJ,07017,(800) 772-1213,,,
156,186,FO,PARSIPPANY NJ,Social Security Administration,2ND FLOOR,2200 STATE RT 10,PARSIPPANY,NJ,07054,(800) 772-1213,,,
157,187,FO,NEW BRUNSWICK NJ,Social Security Administration,SUITE 200,550 JERSEY AVENUE,NEW BRUNSWICK,NJ,08901,(800) 772-1213,,,
158,188,FO,SPRINGFIELD AVE NJ,Social Security Administration,,274 SPRINGFIELD AVE,NEWARK,NJ,07103,(800) 772-1213,,,
159,190,FO,BELLEVUE WA,Social Security Administration,SUITE 100,636 120TH AVE NE,BELLEVUE,WA,98005,(800) 772-1213,,,
160,191,FO,KENT WA,Social Security Administration,SUITE 401,321 RAMSAY WAY,KENT,WA,98032,(800) 772-1213,,,
161,192,FO,BLOOMSBURG PA,Social Security Administration,,700 MARKET ST,BLOOMSBURG,PA,17815,(866) 526-9847,,,
162,194,FO,PHILA ARAMINGO PA,Social Security Administration,IMPERIAL PLAZA,3400 ARAMINGO AVE,PHILADELPHIA,PA,19134,(800) 772-1213,,,
163,195,FO,COLUMBIA MD,Social Security Administration,"LAKESIDE BLDG, STE 110",8865 STANFORD BLVD,COLUMBIA,MD,21045,(800) 772-1213,,,
164,196,FO,BALTO ROSSVILLE MD,Social Security Administration,SUITE 100,6820 HOSPITAL DR,BALTIMORE,MD,21237,(800) 772-1213,,,
165,197,FO,OWINGS MILLS MD,Social Security Administration,SUITE 100,5 PARK CENTER COURT,OWINGS MILLS,MD,21117,(800) 772-1213,,,
166,198,FO,BAYAMON PR,Social Security Administration,FOREST HILLS PLZ 2FL,ROAD 167,BAYAMON,PR,00959,(800) 772-1213,,,
167,199,FO,BALTIMORE WABASH MD,Social Security Administration,BALTIMORE WABASH,6100A WABASH AVENUE,BALTIMORE,MD,21215,(800) 772-1213,,,
168,200,FO,PHILA-DOWNTOWN,Social Security Administration,2 PENN CTR STE 2000A,1500 JFK BLVD 20TH FL,PHILADELPHIA,PA,19102,(800) 772-1213,,,
169,201,FO,PITTS DT PA,Social Security Administration,,921 PENN AVE,PITTSBURGH,PA,15222,(800) 772-1213,,,
170,202,FO,SCRANTON PA,Social Security Administration,OPPENHEIM BLDG 1ST FLR,409 LACKAWANNA AVENUE,SCRANTON,PA,18503,(866) 635-0767,,,
171,203,FO,READING PA,Social Security Administration,STE 200,201 PENN ST,READING,PA,19601,(866) 274-5960,,,
172,204,FO,HARRISBURG PA,Social Security Administration,SUITE 810,555 WALNUT STREET,HARRISBURG,PA,17101,(888) 327-1176,,,
173,205,FO,ERIE PA,Social Security Administration,HIGHMARK BLDG STE 500,717 STATE ST,ERIE,PA,16501,(877) 405-2887,,,
174,206,FO,HAZLETON PA,Social Security Administration,,88 S LAUREL ST,HAZLETON,PA,18201,(866) 388-9878,,,
175,207,FO,ALTOONA PA,Social Security Administration,,303 CAYUGA AVE,ALTOONA,PA,16602,(800) 772-1213,,,
176,208,FO,LANCASTER PA,Social Security Administration,SUITE 104,1809 OLDE HOMESTEAD LN,LANCASTER,PA,17601,(800) 772-1213,,,
177,209,FO,ALLENTOWN PA,Social Security Administration,,41 N 4TH ST,ALLENTOWN,PA,18102,(877) 405-6746,,,
178,210,FO,NEW CASTLE PA,Social Security Administration,,1708 WILMINGTON RD,NEW CASTLE,PA,16105,(800) 772-1213,,,
179,211,FO,CRANBERRY PA,Social Security Administration,,80 REGINA DR,CRANBERRY,PA,16319,(800) 772-1213,,,
180,212,FO,UNIONTOWN PA,Social Security Administration,UNIONTOWN SHOPPING CTR,942 MORGANTOWN ROAD,UNIONTOWN,PA,15401,(800) 772-1213,,,
181,213,FO,WILKES-BARRE PA,Social Security Administration,"STEGMAIER BLDG, ST 102",7 N WILKES BARRE BLVD,WILKES BARRE,PA,18702,(800) 772-1213,,,
182,214,FO,JOHNSTOWN PA,Social Security Administration,SUITE 225,334 WASHINGTON ST,JOHNSTOWN,PA,15901,(800) 772-1213,,,
183,215,FO,WILLIAMSPORT PA,Social Security Administration,SUITE 100,240 WEST 3RD ST,WILLIAMSPORT,PA,17701,(866) 558-2572,,,
184,216,FO,YORK PA,Social Security Administration,SUITE 2,2670 INDUSTRIAL HWY,YORK,PA,17402,(800) 772-1213,,,
185,217,FO,CHESTER PA,Social Security Administration,,807 CROSBY STREET,CHESTER,PA,19013,(800) 772-1213,,,
186,218,FO,PHILA GERMANTOWN PA,Social Security Administration,,701 EAST CHELTEN AVE,PHILADELPHIA,PA,19144,(800) 772-1213,,,
187,219,FO,PHILA NORTHEAST PA,Social Security Administration,,2373 WELSH ROAD,PHILADELPHIA,PA,19114,(800) 772-1213,,,
188,220,FO,POTTSVILLE PA,Social Security Administration,SUITE 200,2221 W MARKET STREET,POTTSVILLE,PA,17901,(800) 772-1213,,,
189,221,FO,MCKEESPORT PA,Social Security Administration,,540 5TH AVE,MCKEESPORT,PA,15132,(800) 772-1213,,,
190,222,FO,AMBRIDGE PA,Social Security Administration,,120 MERCHANT STREET,AMBRIDGE,PA,15003,(800) 772-1213,,,
191,223,FO,GREENSBURG PA,Social Security Administration,,122 W 3RD STREET,GREENSBURG,PA,15601,(800) 772-1213,,,
192,225,FO,NEW KENSINGTON,Social Security Administration,,707 5TH AVE,NEW KENSINGTON,PA,15068,(800) 772-1213,,,
193,226,FO,WASHINGTON PA,Social Security Administration,SUITE 010,95 W BEAU ST,WASHINGTON,PA,15301,(800) 772-1213,,,
194,227,FO,NORRISTOWN PA,Social Security Administration,FIRST FLOOR,1700 MARKLEY STREET,NORRISTOWN,PA,19401,(800) 772-1213,,,
195,228,FO,DU BOIS PA,Social Security Administration,,302 LIBERTY BLVD,DUBOIS,PA,15801,(800) 772-1213,,,
196,229,FO,EASTON PA,Social Security Administration,,134 S FOURTH ST,EASTON,PA,18042,(866) 964-5056,,,
197,230,FO,PHILA UNIVERSITY CITY,Social Security Administration,,4240 MARKET STREET,PHILADELPHIA,PA,19104,(800) 772-1213,,,
198,231,FO,PITTS EAST LIBERTY PA,Social Security Administration,,6117 STATION ST,PITTSBURGH,PA,15206,(800) 772-1213,,,
199,232,FO,SHARON PA,Social Security Administration,,2380 GARDEN WAY,HERMITAGE,PA,16148,(800) 772-1213,,,
200,233,FO,SELINSGROVE PA,Social Security Administration,,150 SUSQ VLY MALL DR,SELINSGROVE,PA,17870,(800) 772-1213,,,
201,234,FO,FAIRLESS HILLS PA,Social Security Administration,,444 LINCOLN HWY,FAIRLESS HILLS,PA,19030,(800) 772-1213,,,
202,235,FO,CHAMBERSBURG PA,Social Security Administration,,50 N THIRD STREET,CHAMBERSBURG,PA,17201,(800) 772-1213,,,
